year,month,state,rainfall,soil_moisture,groundwater_level,population,population_consumption_per_month
2021,11,Assam,128.497239161,,3.031,35322166.666666664,143054775000.0
2021,12,Assam,430.75471685,11.467432299109312,3.2445,35350083.333333336,147940098750.0
2022,1,Assam,908.163942272,14.021206503117208,3.4579999999999997,35378000.0,148056930000.0
2022,2,Assam,1762.71609313,17.218093595922745,3.45875,35405916.666666664,133834365000.0
2022,3,Assam,1102.230596767,13.59517234080808,3.4595,35433833.333333336,148290592500.0
2022,4,Assam,8924.757924132,22.46673385657789,3.2407,35461750.0,143620087500.0
2022,5,Assam,12244.395623256,23.13689906705263,3.0219,35489666.666666664,148524255000.0
2022,6,Assam,19924.190721934,26.512138778866415,2.8030999999999997,35517583.333333336,143846212500.0
2022,7,Assam,9007.629526972,23.725454946345305,2.5843,35545500.0,148757917500.0
2022,8,Assam,6419.5534546355,23.57645774924856,2.3655,35573416.666666664,148874748750.0
2022,9,Assam,4980.7222515973,22.558489201828007,2.4785,35601333.333333336,144185400000.0
